place_id,name,latitude,longitude
ChIJoRWLva0IREAR77I0hwLbxTE,Krtanisi Public School,41.6109824,44.9006402
ChIJf9ZBYqwIREARFGrWPr7kECU,Village Krtanisi Street 6th,41.6098081,44.9046701
ChIJY0Tor60IREARloeAZLDXwyc,"Village Krtanisi, Street 6th, Deadlock 3rd",41.6106937,44.9018176
ChIJLwbktVoPREAR0nLZlf6tHKw,"Krtsanisi, 8th Street",41.6192582,44.9153388
ChIJ8ykDtloPREARPGaJhBoWLpA,"Krtsanisi, 8th Street",41.619252,44.9154512
ChIJte9K1hsPREAR2D4n6M-yI10,ლევან ღოღობერიძის ქ. #47,41.6391403,44.9052
ChIJ_7W_ExMPREARcAI_Af6tDOo,Kelasauri Street,41.6337078,44.9190778
ChIJTbu6FBMPREARs09gWENplG4,Grigol Gulbani Street,41.6331665,44.9187934
ChIJreZNH2sPREARePa5cih0jXQ,Guram Pataraia Street,41.6301102,44.9180947
ChIJHXVXKBIPREARBiQsJuRMRas,Apkhazeti Street,41.6363258,44.916712
ChIJN9Nu50EPREARfsuVyspocHM,David Aghmashenebeli St #25,41.627232,44.91737699999999
ChIJaUSl4EEPREARivhe2GK67Cc,David Aghmashenebeli St #30,41.627315,44.9175121
ChIJicQYkUMPREAR45OzEgcsqMc,Ritsa Street,41.6236795,44.916476
ChIJ8R9dVxMPREAR2IXQmNluAeM,David Aghmashenebeli St #1,41.6327214,44.91876130000001
ChIJ-UcnKEIPREARgdBZzBiSqjg,Kodori Street,41.625502,44.91694270000001
ChIJBUAvhUMPREAROKB1LdZvvZc,Ritsa Street,41.6232524,44.9164894
ChIJ2blghkQPREARhDya-JhaavI,Batumi Street,41.62187489999999,44.9160388
ChIJAY95fGsPREAR-K_c40aYU50,Konstantine Gamsakhurdia Street,41.6310735,44.9208856
ChIJ8UO-KBIPREARMNcrwQivYQM,Bedia Street,41.6366867,44.9171197
ChIJl1BDcWsPREARNEC5PaTu8dQ,Tsotne Dadiani II Turn,41.6305483,44.920435
ChIJlSbLLGoPREARu4C6RuhHmFg,Tsotne Dadiani II Deadlock,41.628365,44.921371
ChIJV8mZj0QPREARWqHrzTE1v3s,Batumi Street,41.621528,44.9160576
ChIJtUo_3msPREARKZ7t_CF3tH8,Ponichala Nature Reservation,41.6288161,44.9229026
ChIJm9fpHmsPREARVMhZF6T_SBQ,Guram Pataraia Street,41.6299047,44.9181631
ChIJGZ_8VhMPREARTj4ykVrj2yM,Rustavi Highway,41.6327034,44.9188872
ChIJK1psKUIPREARGo5C65Gz-s4,Kodori Street,41.6253977,44.9170339
ChIJha4td8AKREARZEPWWavKsKQ,"Kojori, CVaja-Pshavela St #56",41.6515131,44.6962935
ChIJ_fT3DsMKREARNIAJCgj_znM,"Kojori, Vaja-Pshavela Street",41.6565212,44.7028166
ChIJwdNIKusKREAR_BNydWbJxoE,"Kojori, Niko Ketskhoveli Street",41.6490078,44.7009176
ChIJddwCIMIKREARO7AHsy39lLc,"Kojori, Vaja-Pshavela St #22",41.6538068,44.7019167
ChIJvw296cEKREARvRUvxmuQlNI,"Kojori, Azeuli Street",41.6530279,44.7011093
ChIJWQXu6cEKREARRYEnHt0gqGQ,"Kojori, Azeuli Street",41.6530332,44.7010833
ChIJiQPQIcIKREARFcjjL4P8-U4,"Kojori, Vaja-Pshavela St #22",41.653908,44.7020548
ChIJS9xvvMYKREARP89x09bk3ok,Kojori Zakaria Bakradze Street,41.6558319,44.6959072
ChIJQ0I09gELREARCfxbnVL559Y,Tabakhmela Street,41.6533248,44.7365051
ChIJVXiQEP0KREARp2g_gQWO1go,Besarion Kemularia Street,41.6537978,44.7306284
ChIJGzz7EP0KREAR8Wm_fTY6Dis,Besarion Kemularia Street,41.6540499,44.7301475
ChIJe5Mn4OIKREARRvsxaollVrA,Tabakhmela Veli Street,41.6551144,44.7264281
ChIJaTrJ4eIKREARLv31KGyoXeE,Tabakhmela Veli Street,41.6552307,44.7263477
ChIJS-dW-gELREARLXYLPUMiB5M,Tabakhmela Street,41.6533408,44.7366178
ChIJI0AAfgELREARX3Q5JL1isPw,"Tabakhmela, Vakhtang Tediashvili Street",41.6547357,44.7386402
ChIJtQOFfAELREARszH1VpU9yWw,"Tabakhmela, Vakhtang Tediashvili Street",41.6546916,44.7391471
ChIJ2b841AYLREARbOyValaAXoA,"Tabakhmela, Sulkhan Orbeliani Street",41.6548249,44.7438008
ChIJNx_32KkLREAR7Dol6_gHijk,"Tabakhmela, Tbilisi-Kojori Highway #61",41.6541224,44.7483176
ChIJfZXxGKgLREARCF6QtDyNu-k,"Tabakhmela, Tamar Mepe Street",41.6551024,44.7510214
ChIJH4CdoK8LREARP0P03wWle3o,"Tabakhmela, Tamar Mepe St",41.6511724,44.7583356
ChIJo_SeDK4LREARnjc0kYSNv2A,"Tabakhmela, Kindergarten #136",41.6487212,44.7563213
ChIJ80qB36kLREARUkSF1tnxr48,"Tabakhmela, Tbilisi-Kojori Highway #78",41.6539942,44.7479715
ChIJ85j1j6cLREARaEK6cDhiZHI,Tabakhmela Tbilisi-Kojori Highway #35,41.6564731,44.7536364
ChIJDXunmqcLREARhodLQxnvGO8,Tabakhmela Tbilisi-Kojori Highway #44,41.6564972,44.7540307
ChIJ5VDUV6gLREAR3SDjk1k8M18,"Tabakhmela, Tamar Mepe 1st Turn",41.6535383,44.7523045
ChIJ3V6Q1QYLREARh5ml2G5PzrE,"Tabakhmela, Sulkhan Orbeliani Street",41.6546656,44.7439699
ChIJs_YSIacLREARzlsZwF-TKuk,Tabakhmela Tbilisi-Kojori Highway #21,41.6569541,44.75822300000001
ChIJBRbRc6cLREARqydbkkGo1QA,Tabakhmela Tbilisi-Kojori Highway #32,41.6571104,44.756332
ChIJz6ENcacLREARAcih0aiNme0,Tabakhmela Tbilisi-Kojori Highway #34,41.6570824,44.7558624
ChIJ_THtI6cLREAR5fd84ttxKTA,Tabakhmela Tbilisi-Kojori Highway #21,41.6570383,44.7582391
ChIJj5KUbbALREARVN57A1oL1qo,"Tabakhmela, Trialeti Street",41.6494668,44.763464
ChIJo6gVnuEOREARcWogZ9rMhQ8,"Ponichala III M/D, #20",41.6436002,44.8940797
ChIJWzV3n_cOREARSh1STUnrYM4,Rustavi Highway #115,41.6557798,44.8988673
ChIJSeGFgeEOREAR1Axo3gAlYjc,"Ponichala III M/D, #19",41.6442206,44.8946456
ChIJ68s3EOMOREARvLuuUrl_I3A,Vakhtang and Amiran Kapanadze Street,41.6465526,44.8978963
ChIJgXv2buIOREARlKSzAEEB224,Public School #70,41.6441374,44.8985977
ChIJY7EGMOIOREAR8bPyusvpuh4,Kindergarten #206,41.64423559999999,44.895764
ChIJgZ6JueMOREARxrykrryOHu4,Merab Niqabadze Street,41.645415,44.895696
ChIJb2tWNfgOREARrK2m_LMpgP0,Rustavi Highway #177,41.6542627,44.9015467
ChIJqQXZTv0OREARC94ucu5_eoo,Levan Ghoghoberidze St #5,41.64603049999999,44.90259289999999
ChIJT33LWPwOREARD-vopzFq8rA,Besarion Lominadze Street,41.64877,44.9019899
ChIJKxEO9fwOREARDgZF9nbr8UE,Besarion Lominadze Street,41.6489497,44.9018795
ChIJ4U_WBOMOREARLzfPN95CHx0,"Ponichala III M/D, #13",41.6461304,44.89779190000001
ChIJ6XZPA-MOREARULjv_SXjRhc,Zemo Ponichala,41.6461282,44.8986849
ChIJpWPLgR0PREAREsrBq5Y143s,"Ponichala III M/D, #28",41.6440773,44.9003841
ChIJ2ZOYNfgOREARTznCGCNxGBQ,Rustavi Highway #22,41.654385,44.9016434
ChIJ5xyoJfwOREARUJ-2ixgSAPY,Evgeni Gegechkori Street,41.64971,44.904275
ChIJx9U0Qx0PREARQU0PXQLTodY,Levan Ghoghoberidze St #3,41.6448793,44.9024655
ChIJQauP3_4OREAR8DHspt5RNBA,Rustavi Highway #28,41.6516153,44.9067798
ChIJVfZL3v4OREARSKX2cj1UYEI,Rustavi Highway #235,41.65153309999999,44.9066377
ChIJo-H2y-IOREAROTarfG-DX_M,Vakhtang and Amiran Kakabadze St #10,41.6462419,44.9014235
ChIJndajmPcOREAR2FRnnNf1PbQ,Rustavi Highway #20a,41.6557457,44.8991275
ChIJTwQlfeEOREARuo8oZ17dzdk,Marneuli Ave #20,41.644434,44.89404740000001
ChIJ7xasBeMOREARhywe1dJ25M8,ზემო ფონიჭალის #16,41.6460335,44.8974566
ChIJidfG-f4OREARZ6p61rm-XbA,Rustavi Highway #245,41.6503787,44.90772399999999
ChIJNeR3iQMPREARveTW25DJ39M,ქვემო ფონიჭალის ცენტრი,41.644776,44.9117842
ChIJu-j-zgMPREARnrqt51JGj_s,Marneuli Street,41.6470196,44.9102855
