place_id,name,latitude,longitude,types
ChIJGTKSEwALREARzl0T30j1XS8,Opera Hotel Tbilisi,41.6580786,44.6911503,"lodging,point_of_interest,establishment"
ChIJ19TSod0MREARed2iApXUD-M,Opera and Ballet Theater of Tbilisi,41.7008441,44.7959037,"tourist_attraction,point_of_interest,establishment"
ChIJxVhZc90MREARVsVehtAaWrE,Opera Theater,41.7007732,44.7957954,"transit_station,point_of_interest,establishment"
ChIJ2xvBct0MREARA7UxaaqU3iM,Opera Theater,41.7006581,44.7955862,"transit_station,point_of_interest,establishment"
ChIJX7aeOioNREARrQ2PTkHUcAs,opera caffe,41.7007279,44.7967921,"point_of_interest,establishment"
ChIJrbxjbgANREARTckDtQsw0gY,Opera Boutique Hotel,41.7007356,44.796774,"lodging,point_of_interest,establishment"
ChIJVX5ied0MREARTyz2iuyKQ7E,Apartment Opera Rustaveli 23,41.7003479,44.7962494,"lodging,point_of_interest,establishment"
ChIJ_dUcGWwNREARYcNHrTr13Po,Tiflis Opera Aparthotel • ტიფლის ოპერა აპარტოტელი,41.7003097,44.7958201,"lodging,point_of_interest,establishment"
ChIJyd5Ti90MREARX4YMID0oY4c,"Guest House Near Opera, Tbilisi",41.7016172,44.79860300000001,"lodging,point_of_interest,establishment"
ChIJ2xVyDt0MREAReyFH74vRNXc,Tbilisi Central Opera,41.7008804,44.7951449,"lodging,point_of_interest,establishment"
ChIJBXerdAANREARN9YIHaF5dH4,Souvenirs & Gifts Opera Underground (underground passage store),41.7010536,44.7952643,"point_of_interest,store,establishment"
ChIJBVwjc90MREARAPxRiPrfpfw,Opera,41.7007157,44.7956908,"transit_station,point_of_interest,establishment"
ChIJp45xs8IMREARxxOwagzCgF0,apartment duplex opera,41.6993692,44.7936651,"lodging,point_of_interest,establishment"
ChIJAyrr6UUNREAR0WC7FnJTAUo,opera apartment very heart of tbilisi,41.7006486,44.7971496,"lodging,point_of_interest,establishment"
ChIJWdbKOAANREARkf5EY_DmQfw,opera,41.6938026,44.80151679999999,"point_of_interest,establishment"
ChIJ__8Prt0MREARDnc60t3gMYQ,Opera Plaza,41.7015845,44.7949823,"lodging,point_of_interest,establishment"
ChIJf5uZLvAMREARfhFCOC6-Ipc,Royal District Theater,41.6922375,44.8036073,"point_of_interest,establishment"
ChIJo45ED7ANREARq00GGZYU48M,Opera Park,41.7011525,44.7958279,"park,point_of_interest,establishment"
ChIJ5W2IGO8MREAR70FxLBk1D5s,Liberty Theater,41.6945085,44.7993684,"point_of_interest,establishment"
ChIJO1jqYWMNREARrnqCIRC-5bU,DUPLEX OPERA,41.6994091,44.79414939999999,"lodging,point_of_interest,establishment"
ChIJfeCOEdoNREAR3LSNC6ud0Cw,OPERA \ ოპერა,41.70765730000001,44.7831471,"night_club,point_of_interest,establishment"
ChIJi_ba0N0MREAReP26K7WAHWk,Opera Residence by IDECO JSC,41.7024684,44.7975877,"point_of_interest,establishment"
ChIJ5T-Vyt0MREARFr3GqtC5FFc,Hotel Opera Tbilisi,41.7023522,44.7962177,"lodging,point_of_interest,establishment"
ChIJCdJEHuUMREARmDQ2MU2Sty8,Gabriadze Theater,41.6959027,44.8065441,"point_of_interest,establishment"
ChIJc6qzBOYMREAR1-UFqhDaN88,Rustaveli National Theater,41.6995399,44.797402,"movie_theater,tourist_attraction,point_of_interest,establishment"
ChIJAw5MPfsMREARX9w-OuO-NU4,Rike Music Theater and Exhibition Center,41.6946509,44.8106003,"point_of_interest,establishment"
ChIJDcLbztNyREAR2vU3ecnS8Ig,Movement Theater,41.7208346,44.7870654,"point_of_interest,establishment"
ChIJCSQMG-8MREARNPzqui_s2Sk,Griboedovi Theater,41.6944575,44.8004085,"point_of_interest,establishment"
ChIJxY8IMucMREARV-SciM5Ck4A,Theater on Atoneli,41.7003789,44.8015696,"point_of_interest,establishment"
ChIJrVNFiOcMREARm5dyr7qxDkc,Shota Rustaveli Theater and Film University,41.6999424,44.7970007,"university,point_of_interest,establishment"
ChIJidDtph8NREARdA9uQHm9uuE,Rhike Park Music Theatre and Exhibition Hall,41.6934803,44.80964900000001,"point_of_interest,establishment"
ChIJbZ6qgagNREARSgT-wCXAp_U,Sandro Mrevlishvili municipal theater of Tbilisi,41.7001178,44.7967847,"point_of_interest,establishment"
ChIJuwkXgFJ1REARZ1fAScNoK1A,Tbilisi Chamber Theatre,41.6931364,44.802658,"point_of_interest,establishment"
ChIJ84FlQe8MREARGE4wYcwztnQ,Hotel Liberty Theatre,41.6944957,44.79940029999999,"lodging,point_of_interest,establishment"
ChIJb3BWBfkMREARFomKysyfkKk,Petros Adamian Tbilisi State Armenian Drama Theater,41.6916231,44.8163723,"point_of_interest,establishment"
ChIJQwMIdMUNREAR3Efx70-Bwf8,Theater studio Action,41.69877630000001,44.7967941,"point_of_interest,establishment"
ChIJwfpif1ANREAR30DWUFeQ-GU,Cinemaholics Tbilisi,41.7081233,44.7734792,"movie_theater,point_of_interest,establishment"
ChIJ97DeVDxzREAR1gnS91afLlo,Cinema of the National Archives of Georgia,41.728943,44.7675845,"movie_theater,point_of_interest,establishment"
