place_id,name,keyword,latitude,longitude
ChIJV_zhgowPREARsAeDJH0zr4k,Gnome's,fast food,41.6534027,44.9032715
ChIJ1YEu2P8PREARzJ3zch1WZFs,"სწრაფი კვება ""გურმანი""",fast food,41.6477279,44.8994652
ChIJTclfEY8PREARYuUTuP7ICM8,Shaurma 5 stars (შაურმა 5 ვარსკვლავი),fast food,41.6457468,44.8971028
ChIJXWWVDxkPREARKEL7VKgsx9s,Food Central,fast food,41.65148620000001,44.9065922
ChIJvR0OEgALREAR8YO3_8crrOg,Lucky Corner,fast food,41.6636146,44.7623041
ChIJ-ag8Q1wLREAR-9BBmzpUdRo,Food Room,fast food,41.6719912,44.7721044
ChIJG7UvY-8NREARQ_oY59F29aI,McDonald's,fast food,41.6693594,44.8559641
ChIJVce8WgANREAR2uXCZ3PdFT0,კვების ობიექტი ბესტ ფუდი,fast food,41.6734592,44.8367098
ChIJb8EweAANREARkYCKY5wMRPU,Haus shaurma and pizza,fast food,41.6737899,44.8570818
ChIJ9zz-cI0PREARvki-VV5Gsnk,ანტრე ბატონო,fast food,41.6713768,44.8806209
ChIJO8ebSAAPREAR4FYHSEeTP7o,თონის პურის სწრაფი კვება,fast food,41.6715288,44.8733423
ChIJSYObDQMPREARaPhyMCT7xF4,Laguras Shaurma,fast food,41.67227949999999,44.8772742
ChIJjQ3xYBAPREARyPWFiG7oKmw,Kairo's Shawarma,fast food,41.6750733,44.9035528
ChIJ8yUSxfcNREARaEpIKE41-08,Chicken Shaurma,fast food,41.6902132,44.8079501
ChIJI2HXdwANREARLYO602_pN84,Aunt Lily's Bar,fast food,41.6912299,44.8021897
ChIJwVyofQANREAR9zpF59DdeYg,Venuri,fast food,41.6913269,44.80229689999999
ChIJ7xtad-4MREARyIUeU3W30Js,Family Kitchen of Tamar Machitidze,fast food,41.6920528,44.7983802
ChIJMcNffg4NREARBgef6qoWPNE,Good Choice,fast food,41.69210349999999,44.7981608
ChIJHyyCfjkNREAR-BxCD0Avn0U,Feed Me! (Burgers & More),fast food,41.6912403,44.8025435
ChIJbXUMWgANREARQvosNDgfrFc,Dot,fast food,41.6911593,44.8021857
ChIJwXgxMAANREARtz0enmsjdFc,ტოტორო/Totoro,fast food,41.6894535,44.8008867
ChIJnbFhTu4MREARrko9OfrLyB4,Family kitchen,fast food,41.6929965,44.8006069
ChIJRwFZJRcNREAReruWbWsZix8,Burgerz,fast food,41.6914169,44.7997828
ChIJZwTQSwANREARpzM-dBvf9OY,China Lanzhou Noodles 中国兰州拉面,fast food,41.69208160000001,44.7990878
ChIJ410FLwANREARXkZ8Al5WG2k,Black shawarma Isani,fast food,41.687192,44.8303924
ChIJU3XmHUwNREARAPIMZPSBYaU,Tema,fast food,41.6862225,44.8303822
ChIJCya4oscNREARw7_W6sh2B_U,ბურგერების სამინისტრო,fast food,41.6867549,44.8333919
ChIJGUetD1QMREARMF1IHVgbbOk,საოჯახო სამზარეულო,fast food,41.6889964,44.8275055
ChIJp8bywRkNREARuqNOiRvdYLY,Tiktak fast food,fast food,41.6913131,44.8286863
ChIJ0_CqOwANREAR7nznJtEspgg,Shawarma club,fast food,41.6922732,44.8236498
ChIJV1x4KwANREARsnfKRw0sABU,Cook Room Isani,fast food,41.68719129999999,44.8304973
ChIJUZ1-w3QNREAR4UK2IcDvpyw,Shawarma fastfood,fast food,41.6900812,44.8275186
ChIJK4ijh2sNREARiHDE5Z4mIDw,Doner haus:დონერ ჰაუსი,fast food,41.6874721,44.8316267
ChIJHWWs_QoNREAR0FWa2Atsn1Q,ორთაჭალის შაურმა- Shaurma Ortachala,fast food,41.6816457,44.8269033
ChIJGSj-22oNREARh9f26Anv1cE,TEMA,fast food,41.6925768,44.8257087
ChIJZ_HZARsNREARKvst-0yxubw,Hot dog hub,fast food,41.6901228,44.8206534
ChIJk_NuhiwNREAR-tP8vqxkwGU,Shawarma house,fast food,41.6760429,44.8295188
ChIJH74Mv8oNREARl8V3iUd3Vc8,Avlabris Shaurma • ავლაბრის შაურმა,fast food,41.6929321,44.8214174
ChIJeY8987ENREARaJzs5V-wiVw,TOM YUM 2 (THAI FOOD),fast food,41.6871502,44.8144027
ChIJL27xiAENREARcU_kZyvzaAo,Sushi24,fast food,41.6863047,44.8388832
ChIJ9UZce2kNREARnG8Cc5GK2Bs,McDonald's,fast food,41.6835985,44.840519
ChIJ71RdwEsMREARx5R3kTLWJmY,KFC,fast food,41.683091,44.8414753
ChIJl1_CRB8NREARrjem5okTCiI,Shaurmafia,fast food,41.6863493,44.8389462
ChIJ33GXdOMNREARI76c6F3Awfs,MARGE - მარგე,fast food,41.6870294,44.8413129
ChIJEaK9RwANREARcHpv1ut1PCE,ORION GIO,fast food,41.677483,44.8390649
ChIJCSacj7wNREARgtVKLrV7uMk,Samsa / Chebureki,fast food,41.6852921,44.8400671
ChIJI6Z1RgCRRkARkAhHnph9Fio,Isani food ისანი ფუდ,fast food,41.6875922,44.8417057
ChIJv0JFlS8NREARzWtP-jx9f_0,Urban Food • ურბან ფუდი,fast food,41.6904434,44.8525474
