place_id,name,latitude,longitude
ChIJh-2scQANREARP0HHN5UJBJY,yvavadze dagetakeba manqanit,41.6690778,44.8550157
ChIJa7p9iLYNREARF9yQOCFs25c,Reform Fitness,41.6765578,44.8393813
ChIJjyBeRYcOREARdc-xSncIpxk,"Fitness 31, ZMK SETTLEMENT",41.6688726,44.87562329999999
ChIJk75pwQ4PREARYoLwp_e-mKw,DL fitness,41.6664585,44.8912824
ChIJd0RD6qAPREARN4wXNRKgN3o,POWERLIFTING FITNESS GYM BOYS,41.6725957,44.88654529999999
ChIJ5WHjLAAPREARvICZ7GkIbZA,FIT HOUSE-ფიტ ჰაუსი,41.6654291,44.9193447
ChIJzwfmBrYMREARHejSfQ0CTXI,UndergroundGym,41.7010116,44.76731100000001
ChIJFVNmoVQNREAR6P6z2Q7e0Gs,Trim Trail - Tbilisi - Outdoor Gym Tbilisi,41.6927528,44.7885983
ChIJi3731RMNREARLyqumMd69DY,Boxing Time,41.6931436,44.81465170000001
ChIJueclGQANREARMk8rCVp2GoY,فروشگاه مکمل بدنسازی,41.69380259999999,44.8015168
ChIJA6LbiIgNREARQE01YTer9R0,სპორტ დარბაზი - Nostro SPORT,41.69380259999999,44.8015168
ChIJBS1dP-4MREARiq2Kh2qQSbo,Labbele sport,41.6923479,44.8004963
ChIJmRPqlV0NREARQjSjBWQmSpo,Lotusi • ლოტუსი - ონლაინ იოგა და ქოუჩინგი,41.6952814,44.80146709999999
ChIJW5qPXQANREARbf1RqEt3hLw,GYM,41.6888956,44.7978003
ChIJLdgTFeYMREARN4Rpr5ZZ5tc,Fit Club at The Art House,41.6974322,44.7999298
ChIJVfFMuaMNREARex5LrdLBmro,GYM13,41.6921352,44.8210442
ChIJRSpcm6ANREARsosz13p0YeY,Open air gym,41.70085510000001,44.8077721
ChIJFXFBFgANREARVLPO7uf92xM,Outdoor gym / Calisthenics park,41.7006506,44.80566089999999
ChIJexdBRQANREARKQUvbE3vl3Y,Calisthenics Dedaena,41.70065809999999,44.80564409999999
ChIJ2wwFIBINREARDjxz5kmQon4,Chris' Outdoor Gym,41.6883906,44.7935354
ChIJe9_-dNNtREARCtB7Aq85JM0,Pilates Tbilisi,41.69449829999999,44.7934551
