place_id,name,latitude,longitude
ChIJR23Ts5QJREARQZw6bjTN0pk,კუმისის საბავშვო ბაღი,41.6182379,44.7826898
ChIJhR4wxLsNREARsU6rQLLkgXg,"Детский Сад ""Гимили""",41.61341479999999,44.90835719999999
ChIJf64j9mcJREARhdeEgxVJO_g,თელეთის ბაგა-ბაღი,41.6410831,44.82968109999999
ChIJ5aKsSA0NREARBtf9Q14UPrk,Kindergarten Family,41.6717248,44.8554922
ChIJfzg9fDcMREARsoPng82afS4,№215 Kindergarten,41.6760046,44.8414328
ChIJpcuGNVAPREARVxYgS9auXQ0,№16 Kindergarten,41.67015869999999,44.87958159999999
ChIJZyOJxqIPREARsZAFzfoRnC8,Kindergarten,41.6653888,44.8929597
ChIJJRrGamQOREARlOSsfxscgtY,№95 Kindergarten,41.66837199999999,44.89173599999999
ChIJhxgaMgAPREARUnqq_J_24Lw,თბილისის 86-ე ბაგა-ბაღი,41.6744237,44.8782021
ChIJY0VCNgAPREARSg0UEryCJPA,N64 kindergarten of Tbilisi,41.6654499,44.9218629
ChIJ93kqNQAPREARFTf63IIIOn8,ბაღი,41.6724038,44.9137408
ChIJsbgPmr0PREARQd32Zi65u3M,თბილისის 72-ე ბაგა-ბაღი,41.6746566,44.9148085
ChIJUwM-ATB1REARlGMJIH899vs,წყნეთის საბავშვო ბაგა ბაღი #118,41.6916567,44.6901123
ChIJ09ImzNgNREARsmoCF9q_HzA,"Kindergarten ""Golden Ville""",41.685698,44.7763889
ChIJpakdfwUNREAR9pfGoLVfmlA,Tabula Rasa kindergarten,41.7012556,44.7674998
ChIJ_bcfpDMNREAR0YgT4PI16KI,Fufi Nufi Kindergarten,41.70383220000001,44.7702138
ChIJGbRDQgANREARe1DwdGNvYkg,თბილისის მე-200 ბაგა-ბაღი,41.691154,44.8027715
ChIJqUUJli4NREAR6nWGv4Qce6E,Kindergarten № 191,41.6956701,44.8049166
ChIJfZyH0ngNREARJuA-ly8Q78Q,Peter Pan Kindergarten,41.6901811,44.81822559999999
ChIJSWgUEAANREAR_aDaTEnpEYk,თბილისის 77-ე ბაგა-ბაღი,41.6905556,44.81931100000001
ChIJf3SIzB8NREARZyFh741nWcw,თბილისის 66-ე ბაგა-ბაღი,41.68896520000001,44.8218656
ChIJUc8CTegMREAR-q_U7vK_pUk,55 Kindergarten,41.6967617,44.79405440000001
ChIJy2N5id0MREARnac7EmeN8-4,Kindergarten #155,41.70089890000001,44.7982395
ChIJiWQvRU4NREARBZto3J3bdj0,თბილისის 202-ე ბაგა-ბაღი,41.69617950000001,44.84472359999999
ChIJa0fgQgANREARZtzY3ulzdk8,Детский Развивающий Центр «Гимили»,41.6851273,44.84301779999999
ChIJYSPh2XcNREARz7plbAshD3M,"Детский Развивающий Центр ""Гимили""",41.6835347,44.8394936
ChIJOdFpl9gNREARJk9MHPFXJFw,29-ე ბაგა-ბაღი,41.6863698,44.83401649999999
ChIJm3zroeYNREAR6br02zQYN6I,N182 Kindergarten,41.6953393,44.85882189999999
ChIJBZEuwMkNREARIf_3iE5qqqM,121 საჯარო ბაგა-ბაღი,41.7025432,44.84674990000001
ChIJRa4OaIwNREARTtYvthve21g,Детский сад 156,41.70332800000001,44.8502641
ChIJg02np60NREART6ixKSe8BjU,Miu Miu kindergarten,41.6908678,44.876155
