place_id,name,latitude,longitude
ChIJSQtzVwALREARQtc2-usMtew,Маковое поле,41.6085734,44.74285329999999
ChIJS84hKAAJREAR6FLzMA41eBY,კუმისის ჩანჩქერი,41.6195625,44.76931250000001
ChIJ53191tgJREARfMKBFhPe8K0,სკვერი,41.6102628,44.8997337
ChIJM40ssJAKREARcneFjfS_Uuw,იუნკერთა მემორიალი,41.64236080000001,44.69386850000001
ChIJlawDLgALREARjzFf-6-pbx8,ქოროღლის საქეიფო,41.64003529999999,44.7096428
ChIJXzuQNgALREARfXHhNMJdifQ,Hot spring,41.6282684,44.70131749999999
ChIJD3w87YkLREAR1oZcOM42P6I,Ertisi view of Kvemokartli,41.6375684,44.71450429999999
ChIJTUThlYwLREAR8lBRCgd2FMA,კოჯრის ხევი,41.6343125,44.74193749999999
ChIJ6d0KXQALREARwVQmlJm_lpI,Waterfall,41.63239319999999,44.75029099999999
ChIJbd9IPwALREARzRY_U5HTvAc,Скважина,41.6459104,44.7692246
ChIJfR-GZt4JREAR6YtN1z7SBJg,Fountain of Mukhran-Teleti,41.6405625,44.8108125
ChIJiw-fQAAJREARdzRPAXU1eH8,ვირი,41.640684,44.82810500000001
ChIJidyGOq8PREARSbO_YZN-obU,park,41.64204280000001,44.89334499999999
ChIJqSsAJgAPREARMjw-cyH6NIY,Drift_club,41.6398774,44.9159526
ChIJP1uaYmkPREAR_4yk_wPeaYU,Ponichala Reserve,41.628861,44.9232583
ChIJV1JQkQMPREARYFWELm3nE_8,Ponichala Park,41.6457176,44.9108185
ChIJpdvsUpEPREARODLI4r5LgKg,Jachvi's Park,41.6466696,44.9086466
ChIJ8x1p0WoLREAR1H6LQM53aWg,Kojori Central Park,41.6635882,44.7052256
ChIJhwUwnWELREARC-rEKBBkg60,კოჯორი კოცონი,41.6611758,44.7085831
ChIJNyu2UK4LREARE324CPJeKw4,უძოს ტყე,41.6720726,44.703347
ChIJl8h22gV1REAR4L4WJnwoVPI,Mount Udzo,41.6750039,44.7006678
ChIJ51i4yEULREARpNGR748Ch5c,Work park,41.6529101,44.7012316
ChIJT_KdceoKREARPVipKaKDRKg,Park,41.6519951,44.7020116
ChIJFWz_VQALREARI2fcVpkjxMQ,park of qorogli,41.65117909999999,44.7018017
ChIJs9IGbQALREARS96NK714vg8,ლევანის სახლი,41.6512508,44.6960457
ChIJRxCY9_kLREAR94n6vtlwFHY,ბირჟა,41.671003,44.738891
ChIJR3X2agALREAR1IFT97k4vuk,Makuna’s Home,41.6678031,44.7444656
ChIJ55qCEQALREARL5V3MYfsk10,SKVERI,41.6662687,44.74579529999999
ChIJS8QMz4wLREARevSQyTyR2Jo,ტყიშინაური,41.65754689999999,44.7417654
ChIJyxQcOdILREARKPLCEXbi7Xk,კიკნაძეები,41.6552832,44.74479139999999
ChIJo14pXgALREARw7AQT8JKS8E,Tsavkisi garden • წავკისი გარდენ,41.6666116,44.7518115
ChIJT2kafPcLREARKPZnL8mBgKg,შინდისი სულხან-საბას ქუჩა,41.6647807,44.7654761
