place_id,name,latitude,longitude,types
ChIJBQyLlUBzREAR8q7XekfxLbM,Vake Swimming Pool,41.7119134,44.7436694,"cafe,school,spa,hair_care,gym,food,health,point_of_interest,establishment"
ChIJmfB4nVBzREARjCItqG3hN_w,Prime Fitness & SPA,41.7246326,44.7308881,"gym,health,point_of_interest,establishment"
ChIJS8lfInVzREARHcxssLRw9Y0,Prime Fitness & Spa,41.7210566,44.7481676,"gym,health,point_of_interest,establishment"
ChIJvx3JvF5tREARAIgrD2oNafs,Sparta Fitness,41.7730851,44.7746333,"gym,health,point_of_interest,establishment"
ChIJ1W2XUfYMREARbXZYe4ZHMYY,Gulo's Thermal Spa,41.6877978,44.811159,"spa,point_of_interest,establishment"
ChIJEf5bDI0NREARuO2lpXnIJzU,PÜROVEL SPA & SPORT,41.7005543,44.8011776,"spa,point_of_interest,establishment"
ChIJi19ffAANREARqulYcGesBTw,Spa Paragraph Freedom Square,41.6947725,44.8014646,"spa,point_of_interest,establishment"
ChIJ0Tk5iFAMREARhIqIcFZto9o,Sam Raan Spa & Wellness Center,41.6847052,44.8252299,"spa,health,point_of_interest,establishment"
ChIJAQDACdwMREARU3NBW-1-_iw,Anne Semonin Spa,41.7038243,44.793837,"spa,point_of_interest,establishment"
ChIJ14tiSoFzREARJGWviaxUfZc,Kyiv Sulfur SPA,41.706297,44.8005799,"spa,health,point_of_interest,establishment"
ChIJh7eEAxENREAR0wDuPxr7avY,Geo Medical and Spa,41.7062995,44.8005797,"spa,point_of_interest,establishment"
ChIJraN1CoUNREARFyfe_lK6f2s,Spaeri Stadium,41.7024023,44.8367064,"stadium,point_of_interest,establishment"
ChIJp-FKINoKREARM4p_c10RfvI,The Residence Hotel-Pool-Cottages,41.6632062,44.7041309,"lodging,point_of_interest,establishment"
ChIJ7Yh1NJV0REARh_DcsAoe_cs,Tbilisi Tskneti Guesthouse With Pool,41.6940796,44.6960488,"lodging,point_of_interest,establishment"
ChIJxVqNXgANREARnOLH6ZSPPOI,SoTa Metekhi Pool & Bar,41.6899318,44.8161342,"point_of_interest,establishment"
ChIJ4UCoaAANREARm91QfN3W550,Pool Club,41.6899964,44.86593449999999,"point_of_interest,store,establishment"
ChIJvwchN8dzREAR637-a8t5kko,Swimming Pool Dinamo,41.7199531,44.7077625,"point_of_interest,establishment"
ChIJ7XzRioFzREARWl9W24hp2RU,Olimp pool,41.7223281,44.7137637,"point_of_interest,establishment"
ChIJN5XQYENzREAR1VHRPL0wbXQ,Pool 35,41.7213531,44.72414699999999,"point_of_interest,establishment"
ChIJ3c4g5TpzREARBDe9y8JXXk4,Seaside Pool Repair 2024-2025,41.7151417,44.7581152,"point_of_interest,establishment"
ChIJ-2qsUdxyREARupYUTm6sT28,Shartava Pool House,41.7280491,44.7728287,"point_of_interest,establishment"
ChIJl-gmR65zREARiZ3-8f8g0U8,King David Pool,41.7166489,44.7849866,"point_of_interest,establishment"
ChIJgT0LpScNREARwEXIv1Bl50k,Leila Meskhi Tennis Academy Fitness And Pool,41.709551,44.7988479,"point_of_interest,establishment"
ChIJubZGudlzREAR8e3S1Ou6_H0,Swimming Pool Laguna,41.7325938,44.8181361,"point_of_interest,establishment"
ChIJP42NbMkNREARw2lakZHcgL8,AQUAMAN Swimming pool,41.7027524,44.853085,"point_of_interest,establishment"
ChIJ-WaXFQANREARHaxfm7ZcrQA,Sky Pool,41.7046132,44.8494882,"point_of_interest,establishment"
ChIJ0UGeAHxzREAReH74ZuluZJs,Oktopus Fitness Club - Lisi Pool,41.73948619999999,44.7532113,"point_of_interest,establishment"
ChIJLW83QABtREARh7lliSep8sM,Pool&more terrace,41.772783,44.761464,"point_of_interest,establishment"
ChIJ28yeHHptREARIinFOpotnfo,Aphra Pool • აფრას აუზი,41.7628016,44.84032149999999,"point_of_interest,establishment"
ChIJn2ZPN0ZtREARUIhoApnnNh0,Hotel & Swimming pool Tbilisi sea terrace,41.7640785,44.8386046,"lodging,point_of_interest,establishment"
ChIJsR3vRxhzREARqT0xQRsf-OQ,Aqualine,41.7976644,44.7625271,"store,point_of_interest,establishment"
ChIJObr3jKRvREARbz4qyCgesX0,PoolRoom Mafia,41.7878118,44.7534745,"point_of_interest,establishment"
ChIJb1JCxzltREARoQGZNWzjGOI,Groove Pool,41.7758459,44.7508693,"lodging,point_of_interest,establishment"
ChIJGVUYPABtREARro-1U1-BThY,Aquastars-აქუასთარს,41.79105209999999,44.7638617,"point_of_interest,establishment"
ChIJIdulCNFtREARghQBylvNDAU,ოლიმპიური აუზი / Olympic Pool,41.7937999,44.7847963,"point_of_interest,establishment"
ChIJCxTAQsBtREARReFk6njFYcU,Pool Room,41.7907963,44.8187311,"point_of_interest,establishment"
ChIJI2UG4UtsREARPvql43pCi-Y,Bar & Billiard Club Liver-Pool,41.79069579999999,44.8169124,"cafe,point_of_interest,food,establishment"
ChIJNRDhfXJvREAR4e9slIrEhPM,Pool 53,41.829697,44.7246574,"point_of_interest,establishment"
ChIJ5Sfkh8BvREARMm9biZsMS3E,Labyrinth pool აუზი ლაბირინთი,41.8232163,44.8018981,"health,point_of_interest,establishment"
ChIJwQzytu9tREARpHeN5Fasd5Y,Pool on White Lake,41.811151,44.842728,"point_of_interest,establishment"
ChIJvzvZSkAMREARVsojvDYzIDw,Sport Time Hotel & SPA,41.6742235,44.8258888,"lodging,point_of_interest,establishment"
ChIJ5dPQdTBtREARNiqW6te7O1Y,საცურაო აუზი | აქვა რუმსი | Aqua Rooms,41.7636906,44.7928758,"point_of_interest,establishment"
